price,volume,timestamp
109.79,1,08:10:05.411698067
109.79,1,08:10:05.411899073
109.79,1,08:10:05.602636315
109.8,10,08:10:11.086183726
109.8,1,08:10:11.086183726
109.8,1,08:10:11.086260049
109.8,1,08:10:11.086275617
109.8,11,08:10:11.086275617
109.8,2,08:10:11.087278506
109.8,3,08:10:11.087403677
109.8,1,08:10:11.087430458
109.8,10,08:10:11.087430458
109.8,11,08:10:22.700692323
109.8,1,08:10:22.700711776
109.8,2,08:10:22.700948157
109.8,12,08:10:22.700979051
109.8,8,08:10:22.700995768
109.8,5,08:10:22.701378888
109.8,56,08:10:22.701393094
109.8,10,08:10:22.702022143
109.8,1,08:10:32.025305861
109.8,1,08:10:38.000533607
109.81,103,08:10:44.991540824
109.81,1,08:10:44.991560017
109.81,2,08:10:44.991560017
109.81,2,08:10:44.991575000
109.81,20,08:10:44.991575000
109.81,6,08:10:44.991575000
109.81,45,08:10:44.991575000
109.81,1,08:10:44.991575000
109.81,12,08:10:44.991905464
109.81,18,08:10:44.992426256
109.8,1,08:11:19.373077871
109.8,2,08:11:19.373171104
109.8,2,08:11:19.373193299
109.8,1,08:11:19.373193299
109.8,1,08:11:19.373682174
109.8,9,08:11:19.373701246
109.8,8,08:11:31.711470072
109.79,1,08:11:35.036435172
109.8,1,08:12:38.034770022
109.81,2,08:12:45.246720800
109.81,4,08:12:45.246720800
109.82,40,08:13:09.300675951
109.82,1,08:13:09.300696120
109.82,12,08:13:09.300696120
109.82,11,08:13:09.300696120
109.82,11,08:13:09.300711854
109.82,1,08:13:09.300711854
109.82,1,08:13:09.301613505
109.82,1,08:13:09.301764555
109.82,2,08:13:15.134319940
109.82,2,08:13:15.134334756
109.82,7,08:13:15.134447770
109.82,2,08:13:15.136135577
109.82,1,08:13:15.136135577
109.82,2,08:13:15.142287690
109.82,2,08:13:15.142563818
109.82,4,08:13:15.142651241
109.82,11,08:13:15.161114728
109.82,11,08:13:15.181611359
109.82,1,08:13:15.181833963
109.82,3,08:13:15.181948802
109.82,10,08:13:15.255708944
109.82,1,08:13:15.255932636
109.82,4,08:13:15.266764412
109.82,2,08:13:15.266764412
109.82,1,08:13:15.266764412
109.82,4,08:13:15.267399714
109.82,1,08:13:15.268263348
109.82,11,08:13:19.359340976
109.82,11,08:13:19.370135647
109.82,11,08:13:19.380917620
109.82,1,08:13:19.391507946
109.82,1,08:13:29.992714377
109.82,15,08:13:29.993399961
109.82,1,08:13:29.993509288
109.82,1,08:13:41.573061168
109.82,1,08:14:44.034302330
109.82,1,08:15:47.025728183
109.83,1,08:15:56.921968266
109.83,2,08:15:56.921981885
109.83,7,08:15:56.922170426
109.83,11,08:15:56.922185534
109.83,2,08:15:56.922185534
109.83,1,08:15:56.922198983
109.83,50,08:15:56.922216196
109.83,1,08:15:56.922216196
109.83,2,08:15:56.922233130
109.83,1,08:15:56.922233130
109.83,12,08:15:56.922233130
109.83,3,08:15:56.922233130
109.83,2,08:15:56.922879642
109.83,7,08:16:00.046658066
109.83,7,08:16:00.062953360
109.83,7,08:16:00.073847686
109.83,7,08:16:00.084566591
109.83,7,08:16:00.095350210
109.83,7,08:16:00.105981573
109.83,7,08:16:00.116780433
109.83,7,08:16:00.127474845
109.83,44,08:16:00.127768621
109.83,3,08:16:16.787051279
109.83,1,08:16:16.787238511
109.83,1,08:16:16.787279231
109.83,2,08:16:16.787314208
109.83,5,08:16:16.956957265
109.83,1,08:16:20.424803541
109.83,1,08:16:20.425023608
109.83,2,08:16:20.435876429
109.83,1,08:16:20.435876429
109.83,1,08:16:20.435979181
109.83,1,08:16:20.435995770
109.83,3,08:16:20.448879381
109.83,4,08:16:20.685656220
109.83,2,08:16:20.696341285
109.83,1,08:16:20.696341285
109.83,2,08:16:20.696406347
109.83,2,08:16:20.696773202
109.83,1,08:16:20.696882010
109.83,1,08:16:20.707240267
109.83,1,08:16:20.707939740
109.83,1,08:16:50.043988722
109.84,9,08:17:26.790824885
109.84,2,08:17:26.790839179
109.84,39,08:17:26.790839179
109.84,7,08:17:26.790952011
109.84,2,08:17:26.790966366
109.84,1,08:17:26.790966366
109.84,3,08:17:26.790966366
109.84,3,08:17:26.790980094
109.84,1,08:17:26.791191757
109.84,1,08:17:26.791214170
109.84,12,08:17:26.791214170
109.84,14,08:17:26.791714884
109.84,1,08:17:26.792258902
109.84,1,08:17:48.996980972
109.84,1,08:17:50.697792245
109.84,1,08:17:50.698009374
109.84,1,08:18:12.221234791
109.84,1,08:18:12.221333936
109.84,2,08:18:12.221333936
109.84,1,08:18:42.091870886
109.84,1,08:19:00.802783332
109.85,2,08:19:31.349810943
109.85,1,08:19:31.349810943
109.85,1,08:19:31.350457141
109.85,11,08:19:31.352821596
109.85,4,08:19:31.358196734
109.85,1,08:19:31.515182139
109.85,1,08:19:31.515458392
109.85,1,08:19:36.479286069
109.85,8,08:19:36.479615893
109.85,11,08:19:36.490098051
109.85,11,08:19:36.500646697
109.85,11,08:19:36.511381965
109.85,10,08:19:36.635037249
109.84,1,08:19:59.040608250
109.85,2,08:20:00.041266405
109.85,1,08:20:00.041266405
