bidVolume,bidPrice,askVolume,askPrice,timestamp
3,2378.7,6,2378.9,08:00:00.005845163
3,2378.7,6,2378.9,08:00:00.006296411
4,2378.7,6,2378.9,08:00:00.007087047
4,2378.7,5,2378.9,08:00:00.007236912
5,2378.7,5,2378.9,08:00:00.008286722
5,2378.7,4,2378.9,08:00:00.008429500
5,2378.7,3,2378.9,08:00:00.008467052
5,2378.7,3,2378.9,08:00:00.008537076
5,2378.7,2,2378.9,08:00:00.008693499
6,2378.7,2,2378.9,08:00:00.073993422
7,2378.7,2,2378.9,08:00:00.074119283
7,2378.7,6,2379.0,08:00:00.363218500
7,2378.7,1,2379.0,08:00:00.363218500
7,2378.7,1,2379.0,08:00:00.363218500
1,2378.8,1,2379.0,08:00:00.363301493
2,2378.8,1,2379.0,08:00:00.363464478
3,2378.8,1,2379.0,08:00:00.363589921
3,2378.8,1,2379.0,08:00:00.363671749
3,2378.8,1,2379.0,08:00:00.363798460
3,2378.8,1,2379.0,08:00:00.363846615
3,2378.8,1,2379.0,08:00:00.363860212
4,2378.8,1,2379.0,08:00:00.363899592
5,2378.8,1,2379.0,08:00:00.363929128
5,2378.8,1,2379.0,08:00:00.363943468
5,2378.8,1,2379.0,08:00:00.363995120
6,2378.8,1,2379.0,08:00:00.364111612
6,2378.8,1,2379.0,08:00:00.364162556
6,2378.8,1,2379.0,08:00:00.364278562
6,2378.8,2,2379.0,08:00:00.364623190
6,2378.8,3,2379.0,08:00:00.364638518
6,2378.8,3,2379.0,08:00:00.364680145
5,2378.8,3,2379.0,08:00:00.364702808
4,2378.8,3,2379.0,08:00:00.364768582
4,2378.8,2,2379.0,08:00:00.364803958
5,2378.8,2,2379.0,08:00:00.364977562
5,2378.8,3,2379.0,08:00:00.365033953
5,2378.8,3,2379.0,08:00:00.371512772
5,2378.8,3,2379.0,08:00:00.374235435
5,2378.8,1,2378.9,08:00:00.382682098
5,2378.8,1,2378.9,08:00:00.382874490
5,2378.8,3,2379.0,08:00:00.383215687
5,2378.8,3,2379.0,08:00:00.383215687
5,2378.8,3,2379.0,08:00:00.383646669
5,2378.8,4,2379.1,08:00:00.388731888
5,2378.8,1,2379.1,08:00:00.388731888
5,2378.8,1,2379.1,08:00:00.388731888
1,2378.9,1,2379.1,08:00:00.388777901
1,2378.9,1,2379.1,08:00:00.388833576
2,2378.9,1,2379.1,08:00:00.388869238
2,2378.9,1,2379.1,08:00:00.388896736
3,2378.9,1,2379.1,08:00:00.389030998
3,2378.9,1,2379.1,08:00:00.389156383
3,2378.9,1,2379.1,08:00:00.389156383
3,2378.9,1,2379.1,08:00:00.389176876
4,2378.9,1,2379.1,08:00:00.389230254
4,2378.9,3,2379.1,08:00:00.389289643
5,2378.9,3,2379.1,08:00:00.389336303
5,2378.9,3,2379.1,08:00:00.389364383
5,2378.9,3,2379.1,08:00:00.389378592
5,2378.9,3,2379.1,08:00:00.389446043
5,2378.9,3,2379.1,08:00:00.389509507
6,2378.9,3,2379.1,08:00:00.389563342
7,2378.9,3,2379.1,08:00:00.389613906
7,2378.9,3,2379.1,08:00:00.389678956
1,2379.0,3,2379.1,08:00:00.389746468
2,2379.0,3,2379.1,08:00:00.389764981
2,2379.0,3,2379.1,08:00:00.389849203
3,2379.0,3,2379.1,08:00:00.389884949
3,2379.0,2,2379.1,08:00:00.389937566
3,2379.0,2,2379.1,08:00:00.389951045
3,2379.0,1,2379.1,08:00:00.389983126
3,2379.0,1,2379.1,08:00:00.390118214
3,2379.0,5,2379.2,08:00:00.390343444
3,2379.0,5,2379.2,08:00:00.390343444
3,2379.0,5,2379.2,08:00:00.390364564
3,2379.0,5,2379.2,08:00:00.390378772
3,2379.0,5,2379.2,08:00:00.390472473
3,2379.0,5,2379.2,08:00:00.390554324
3,2379.0,5,2379.2,08:00:00.390771286
4,2379.0,5,2379.2,08:00:00.390796269
5,2379.0,5,2379.2,08:00:00.390828369
5,2379.0,5,2379.2,08:00:00.390911350
5,2379.0,5,2379.2,08:00:00.390911350
5,2379.0,4,2379.2,08:00:00.390930253
5,2379.0,4,2379.2,08:00:00.391100435
5,2379.0,4,2379.2,08:00:00.392405357
6,2379.0,4,2379.2,08:00:00.393135561
6,2379.0,4,2379.2,08:00:00.393272639
6,2379.0,4,2379.2,08:00:00.398239565
6,2379.0,6,2379.3,08:00:00.406134988
6,2379.0,6,2379.3,08:00:00.406134988
1,2379.1,6,2379.3,08:00:00.406417765
2,2379.1,6,2379.3,08:00:00.406485485
3,2379.1,6,2379.3,08:00:00.406503175
4,2379.1,6,2379.3,08:00:00.406557375
4,2379.1,5,2379.3,08:00:00.406634758
4,2379.1,5,2379.3,08:00:00.406645779
4,2379.1,5,2379.3,08:00:00.406661060
4,2379.1,5,2379.3,08:00:00.406675710
4,2379.1,5,2379.3,08:00:00.406859265
4,2379.1,5,2379.3,08:00:00.406910657
4,2379.1,5,2379.3,08:00:00.406923755
4,2379.1,5,2379.3,08:00:00.406988350
4,2379.1,5,2379.3,08:00:00.407004202
3,2379.1,5,2379.3,08:00:00.407025854
3,2379.1,6,2379.3,08:00:00.407073154
3,2379.1,7,2379.3,08:00:00.407103894
3,2379.1,2,2379.2,08:00:00.407128905
3,2379.1,2,2379.2,08:00:00.407151322
3,2379.1,2,2379.2,08:00:00.407164574
3,2379.1,2,2379.2,08:00:00.407175857
2,2379.1,2,2379.2,08:00:00.407305191
2,2379.1,2,2379.2,08:00:00.407317319
1,2379.1,2,2379.2,08:00:00.407362546
2,2379.1,2,2379.2,08:00:00.407388885
1,2379.1,2,2379.2,08:00:00.407473991
1,2379.1,3,2379.2,08:00:00.407507710
1,2379.1,3,2379.2,08:00:00.407538917
6,2379.0,3,2379.2,08:00:00.407893638
6,2379.0,3,2379.2,08:00:00.407893638
6,2379.0,4,2379.2,08:00:00.408041734
6,2379.0,4,2379.2,08:00:00.408556563
6,2379.0,4,2379.2,08:00:00.408960127
7,2379.0,4,2379.2,08:00:00.414281076
7,2379.0,5,2379.3,08:00:00.441231515
7,2379.0,3,2379.3,08:00:00.441231515
7,2379.0,3,2379.3,08:00:00.441231515
1,2379.1,3,2379.3,08:00:00.441322425
2,2379.1,3,2379.3,08:00:00.441432552
3,2379.1,3,2379.3,08:00:00.441470211
4,2379.1,3,2379.3,08:00:00.441528461
4,2379.1,2,2379.3,08:00:00.441618082
5,2379.1,2,2379.3,08:00:00.441721028
5,2379.1,2,2379.3,08:00:00.441734443
5,2379.1,2,2379.3,08:00:00.441763413
5,2379.1,2,2379.3,08:00:00.441807775
6,2379.1,2,2379.3,08:00:00.441860964
6,2379.1,2,2379.3,08:00:00.441872439
7,2379.1,2,2379.3,08:00:00.441893665
7,2379.1,2,2379.3,08:00:00.441945250
7,2379.1,2,2379.3,08:00:00.442040775
6,2379.1,2,2379.3,08:00:00.442100543
6,2379.1,3,2379.3,08:00:00.442152166
5,2379.1,3,2379.3,08:00:00.442202683
5,2379.1,5,2379.3,08:00:00.444639462
4,2379.1,5,2379.3,08:00:00.444834256
3,2379.1,5,2379.3,08:00:00.448276767
3,2379.1,1,2379.2,08:00:00.448442738
3,2379.1,1,2379.2,08:00:00.448520142
2,2379.1,1,2379.2,08:00:00.448566012
2,2379.1,1,2379.2,08:00:00.448591929
7,2379.0,1,2379.2,08:00:00.448637433
7,2379.0,1,2379.2,08:00:00.448637433
7,2379.0,2,2379.2,08:00:00.448684672
7,2379.0,2,2379.2,08:00:00.448709396
7,2379.0,2,2379.2,08:00:00.448742171
7,2379.0,3,2379.2,08:00:00.448773036
7,2379.0,2,2379.2,08:00:00.448873285
7,2379.0,2,2379.2,08:00:00.448895979
1,2379.1,2,2379.2,08:00:00.448990434
2,2379.1,2,2379.2,08:00:00.449047448
2,2379.1,1,2379.2,08:00:00.449074479
2,2379.1,1,2379.2,08:00:00.449107437
2,2379.1,6,2379.3,08:00:00.449180619
2,2379.1,6,2379.3,08:00:00.449180619
2,2379.1,6,2379.3,08:00:00.449230201
2,2379.1,5,2379.3,08:00:00.449308643
2,2379.1,3,2379.3,08:00:00.452205457
2,2379.1,4,2379.3,08:00:00.452343773
2,2379.1,8,2379.3,08:00:00.459262243
2,2379.1,8,2379.3,08:00:00.464580620
3,2379.1,8,2379.3,08:00:00.635950790
2,2379.1,8,2379.3,08:00:00.898536173
2,2379.1,1,2379.2,08:00:00.898618997
2,2379.1,2,2379.2,08:00:00.898853543
6,2379.0,2,2379.2,08:00:00.898964701
6,2379.0,2,2379.2,08:00:00.898964701
6,2379.0,2,2379.2,08:00:00.899051499
6,2379.0,1,2379.2,08:00:00.899117497
6,2379.0,1,2379.2,08:00:00.899177886
6,2379.0,2,2379.2,08:00:00.899652683
6,2379.0,9,2379.3,08:00:00.899703148
6,2379.0,9,2379.3,08:00:00.899703148
6,2379.0,9,2379.3,08:00:00.899733459
6,2379.0,1,2379.2,08:00:00.899775043
1,2379.1,1,2379.2,08:00:00.899804022
2,2379.1,1,2379.2,08:00:00.899892646
3,2379.1,1,2379.2,08:00:00.900051849
3,2379.1,1,2379.2,08:00:00.900202623
3,2379.1,1,2379.2,08:00:00.900278186
2,2379.1,1,2379.2,08:00:00.900559696
3,2379.1,1,2379.2,08:00:01.113885056
3,2379.1,8,2379.3,08:00:01.114193183
3,2379.1,8,2379.3,08:00:01.114193183
3,2379.1,9,2379.3,08:00:01.114235985
1,2379.2,9,2379.3,08:00:01.114375628
1,2379.2,8,2379.3,08:00:01.114396541
1,2379.2,8,2379.3,08:00:01.114414800
1,2379.2,7,2379.3,08:00:01.114594001
4,2379.1,7,2379.3,08:00:01.114617950
4,2379.1,7,2379.3,08:00:01.114617950
4,2379.1,7,2379.3,08:00:01.114864435
4,2379.1,7,2379.3,08:00:01.114877549
4,2379.1,7,2379.3,08:00:01.114960162
3,2379.1,7,2379.3,08:00:01.115049037
3,2379.1,7,2379.3,08:00:01.167138824
3,2379.1,8,2379.3,08:00:01.932051101
3,2379.1,8,2379.3,08:00:02.110993321
3,2379.1,9,2379.3,08:00:03.053437988
2,2379.1,9,2379.3,08:00:03.053619570
2,2379.1,1,2379.2,08:00:03.053674716
1,2379.1,1,2379.2,08:00:03.053918698
1,2379.1,9,2379.3,08:00:03.054117701
1,2379.1,9,2379.3,08:00:03.054117701
1,2379.1,10,2379.3,08:00:03.054212199
1,2379.1,11,2379.3,08:00:03.054446966
2,2379.1,11,2379.3,08:00:03.054635763
2,2379.1,11,2379.3,08:00:03.054694664
3,2379.1,11,2379.3,08:00:03.054766396
3,2379.1,10,2379.3,08:00:03.054826478
4,2379.1,10,2379.3,08:00:03.054955199
5,2379.1,10,2379.3,08:00:03.055176092
5,2379.1,10,2379.3,08:00:03.055188369
5,2379.1,9,2379.3,08:00:03.055295786
4,2379.1,9,2379.3,08:00:03.113486457
3,2379.1,9,2379.3,08:00:03.113506691
3,2379.1,8,2379.3,08:00:03.116037142
3,2379.1,4,2379.2,08:00:03.117990058
2,2379.1,4,2379.2,08:00:03.118139681
1,2379.1,4,2379.2,08:00:03.118187264
1,2379.1,4,2379.2,08:00:03.118212802
1,2379.1,4,2379.2,08:00:03.118227429
1,2379.1,5,2379.2,08:00:03.118245925
7,2379.0,5,2379.2,08:00:03.118429943
7,2379.0,5,2379.2,08:00:03.118429943
7,2379.0,6,2379.2,08:00:03.118593331
6,2379.0,6,2379.2,08:00:03.118694175
6,2379.0,7,2379.2,08:00:03.118759088
6,2379.0,7,2379.2,08:00:03.125432907
6,2379.0,7,2379.2,08:00:03.125446420
7,2379.0,7,2379.2,08:00:03.137465098
7,2379.0,6,2379.2,08:00:03.173460925
7,2379.0,6,2379.2,08:00:03.236649567
7,2379.0,7,2379.2,08:00:03.236668639
7,2379.0,6,2379.2,08:00:03.470313092
1,2379.1,6,2379.2,08:00:03.470620784
1,2379.1,6,2379.2,08:00:03.473800520
6,2379.0,6,2379.2,08:00:03.474052230
6,2379.0,6,2379.2,08:00:03.474052230
1,2379.1,6,2379.2,08:00:03.474085206
6,2379.0,6,2379.2,08:00:03.474286830
6,2379.0,6,2379.2,08:00:03.474286830
6,2379.0,7,2379.2,08:00:03.474310882
6,2379.0,7,2379.2,08:00:03.481241540
6,2379.0,6,2379.2,08:00:03.540194301
1,2379.1,6,2379.2,08:00:03.540303833
2,2379.1,6,2379.2,08:00:03.540479314
2,2379.1,6,2379.2,08:00:04.344236868
2,2379.1,6,2379.2,08:00:04.554958444
6,2379.0,6,2379.2,08:00:05.013666118
6,2379.0,6,2379.2,08:00:05.013666118
6,2379.0,1,2379.1,08:00:05.014918278
5,2379.0,1,2379.1,08:00:05.014946183
5,2379.0,1,2379.1,08:00:05.014961879
4,2379.0,1,2379.1,08:00:05.015047586
4,2379.0,1,2379.1,08:00:05.015061212
4,2379.0,1,2379.1,08:00:05.015077683
4,2379.0,8,2379.2,08:00:05.015206351
4,2379.0,8,2379.2,08:00:05.015206351
4,2379.0,9,2379.2,08:00:05.015330882
4,2379.0,10,2379.2,08:00:05.015360303
4,2379.0,9,2379.2,08:00:05.015448343
4,2379.0,9,2379.2,08:00:05.021865634
4,2379.0,9,2379.2,08:00:05.190341462
4,2379.0,8,2379.2,08:00:06.825721516
5,2379.0,8,2379.2,08:00:07.252338374
5,2379.0,7,2379.2,08:00:07.252470591
6,2379.0,7,2379.2,08:00:07.252492118
6,2379.0,6,2379.2,08:00:07.252622421
6,2379.0,5,2379.2,08:00:07.252739357
6,2379.0,5,2379.2,08:00:07.265237451
6,2379.0,5,2379.2,08:00:07.332152459
6,2379.0,6,2379.2,08:00:07.865473732
5,2379.0,6,2379.2,08:00:08.065598221
4,2379.0,6,2379.2,08:00:08.065663223
4,2379.0,7,2379.2,08:00:08.065681688
4,2379.0,8,2379.2,08:00:08.065698190
4,2379.0,8,2379.2,08:00:08.065752566
