bidVolume,bidPrice,askVolume,askPrice,timestamp
146,110.12,125,110.13,09:15:00.023514348
146,110.12,124,110.13,09:15:00.024845573
146,110.12,123,110.13,09:15:00.031120790
146,110.12,122,110.13,09:15:00.035653927
146,110.12,132,110.13,09:15:00.152938152
146,110.12,133,110.13,09:15:00.153149221
146,110.12,134,110.13,09:15:00.153149221
146,110.12,135,110.13,09:15:00.170364242
146,110.12,134,110.13,09:15:01.016956992
146,110.12,124,110.13,09:15:01.016956992
146,110.12,125,110.13,09:15:01.285314200
146,110.12,135,110.13,09:15:01.285405746
146,110.12,134,110.13,09:15:01.526661868
146,110.12,136,110.13,09:15:01.537502593
146,110.12,126,110.13,09:15:02.693438493
146,110.12,125,110.13,09:15:02.693754871
146,110.12,124,110.13,09:15:02.693754871
146,110.12,126,110.13,09:15:02.905114807
146,110.12,124,110.13,09:15:04.632705945
146,110.12,126,110.13,09:15:04.632843212
146,110.12,124,110.13,09:15:04.633735998
146,110.12,125,110.13,09:15:04.634065230
146,110.12,126,110.13,09:15:04.639482880
146,110.12,136,110.13,09:15:05.571940148
126,110.12,136,110.13,09:15:05.596300499
120,110.12,136,110.13,09:15:05.596378422
120,110.12,126,110.13,09:15:05.883426984
145,110.12,126,110.13,09:15:05.884820641
145,110.12,136,110.13,09:15:05.986842645
145,110.12,126,110.13,09:15:07.330406857
145,110.12,125,110.13,09:15:07.556987707
145,110.12,124,110.13,09:15:07.557093518
145,110.12,123,110.13,09:15:07.557849214
145,110.12,124,110.13,09:15:08.742985385
145,110.12,125,110.13,09:15:08.743134601
145,110.12,124,110.13,09:15:09.257725529
145,110.12,125,110.13,09:15:09.852399765
145,110.12,126,110.13,09:15:10.151401430
145,110.12,124,110.13,09:15:11.586262176
145,110.12,127,110.13,09:15:11.596936792
155,110.12,127,110.13,09:15:20.792320357
158,110.12,127,110.13,09:15:20.792384754
158,110.12,126,110.13,09:15:20.792490661
158,110.12,125,110.13,09:15:20.792926609
158,110.12,124,110.13,09:15:20.793257604
158,110.12,123,110.13,09:15:20.793257604
158,110.12,122,110.13,09:15:20.793345851
158,110.12,121,110.13,09:15:20.793361258
158,110.12,119,110.13,09:15:20.793514132
158,110.12,118,110.13,09:15:20.793514132
158,110.12,117,110.13,09:15:20.793606013
158,110.12,118,110.13,09:15:20.908302692
158,110.12,119,110.13,09:15:20.919904556
158,110.12,116,110.13,09:15:21.511659056
158,110.12,115,110.13,09:15:21.513012552
158,110.12,114,110.13,09:15:21.513173336
158,110.12,118,110.13,09:15:21.522193318
158,110.12,119,110.13,09:15:41.525075355
158,110.12,118,110.13,09:15:41.916782478
158,110.12,119,110.13,09:15:41.989901448
