bidVolume,bidPrice,askVolume,askPrice,timestamp
66,118.05,8,118.06,09:15:00.014125299
66,118.05,7,118.06,09:15:00.014125299
66,118.05,6,118.06,09:15:00.014125737
66,118.05,5,118.06,09:15:00.014125737
66,118.05,4,118.06,09:15:00.014125737
66,118.05,2,118.06,09:15:00.014125737
66,118.05,99,118.07,09:15:00.014125737
74,118.05,99,118.07,09:15:00.022725651
80,118.05,99,118.07,09:15:00.023579750
90,118.05,99,118.07,09:15:00.029136600
93,118.05,99,118.07,09:15:00.029196524
94,118.05,99,118.07,09:15:00.059300173
94,118.05,100,118.07,09:15:00.126187841
94,118.05,104,118.07,09:15:00.135434261
86,118.05,104,118.07,09:15:00.135611819
87,118.05,104,118.07,09:15:00.144192568
87,118.05,3,118.06,09:15:00.152702108
87,118.05,4,118.06,09:15:00.152938152
77,118.05,4,118.06,09:15:00.153017644
77,118.05,5,118.06,09:15:00.161958818
77,118.05,6,118.06,09:15:00.170780860
74,118.05,6,118.06,09:15:00.255194791
74,118.05,7,118.06,09:15:00.412550791
74,118.05,6,118.06,09:15:01.016398590
74,118.05,4,118.06,09:15:01.016692671
74,118.05,3,118.06,09:15:01.016692671
74,118.05,2,118.06,09:15:01.016790378
74,118.05,1,118.06,09:15:01.016806196
74,118.05,104,118.07,09:15:01.016806196
76,118.05,104,118.07,09:15:01.017068852
86,118.05,104,118.07,09:15:01.017255969
86,118.05,105,118.07,09:15:01.060725912
84,118.05,105,118.07,09:15:01.071184020
84,118.05,5,118.06,09:15:01.285113142
74,118.05,5,118.06,09:15:01.285493989
74,118.05,6,118.06,09:15:01.401403811
74,118.05,7,118.06,09:15:02.122648153
74,118.05,6,118.06,09:15:02.691950974
74,118.05,5,118.06,09:15:02.692135480
74,118.05,4,118.06,09:15:02.692223627
75,118.05,4,118.06,09:15:02.692303086
75,118.05,1,118.06,09:15:02.693258528
75,118.05,104,118.07,09:15:02.693258528
75,118.05,100,118.07,09:15:02.693581738
85,118.05,100,118.07,09:15:02.693834883
85,118.05,101,118.07,09:15:02.735919702
85,118.05,104,118.07,09:15:02.736128678
85,118.05,1,118.06,09:15:02.904724663
75,118.05,1,118.06,09:15:02.904977296
75,118.05,2,118.06,09:15:03.144739388
74,118.05,2,118.06,09:15:03.483703162
74,118.05,1,118.06,09:15:04.633632689
74,118.05,104,118.07,09:15:04.633649242
74,118.05,101,118.07,09:15:04.633831982
74,118.05,102,118.07,09:15:04.676116669
74,118.05,103,118.07,09:15:04.676285789
74,118.05,102,118.07,09:15:05.308063173
74,118.05,103,118.07,09:15:05.435923719
74,118.05,104,118.07,09:15:05.436099293
74,118.05,1,118.06,09:15:05.571730439
74,118.05,2,118.06,09:15:05.572110810
74,118.05,3,118.06,09:15:05.572308330
74,118.05,11,118.06,09:15:05.579801515
74,118.05,12,118.06,09:15:05.579978705
68,118.05,12,118.06,09:15:05.596114685
68,118.05,14,118.06,09:15:05.596378422
68,118.05,16,118.06,09:15:05.665610783
68,118.05,17,118.06,09:15:05.665794856
68,118.05,16,118.06,09:15:05.679870961
68,118.05,17,118.06,09:15:05.742646344
68,118.05,16,118.06,09:15:05.745725744
68,118.05,17,118.06,09:15:05.749456560
68,118.05,16,118.06,09:15:05.881856448
68,118.05,15,118.06,09:15:05.881927373
68,118.05,13,118.06,09:15:05.881927373
68,118.05,12,118.06,09:15:05.882000066
68,118.05,10,118.06,09:15:05.882000066
68,118.05,9,118.06,09:15:05.882079088
68,118.05,1,118.06,09:15:05.883220360
68,118.05,2,118.06,09:15:05.884152465
68,118.05,3,118.06,09:15:05.884378980
68,118.05,2,118.06,09:15:05.887521788
68,118.05,1,118.06,09:15:05.887720338
68,118.05,2,118.06,09:15:05.986451696
68,118.05,3,118.06,09:15:05.986510768
68,118.05,11,118.06,09:15:05.986677833
68,118.05,13,118.06,09:15:06.113885612
68,118.05,14,118.06,09:15:06.113953634
68,118.05,15,118.06,09:15:06.113953634
68,118.05,16,118.06,09:15:06.114128972
68,118.05,17,118.06,09:15:06.114199439
68,118.05,16,118.06,09:15:06.116490400
68,118.05,15,118.06,09:15:06.116627738
68,118.05,14,118.06,09:15:06.116769802
68,118.05,13,118.06,09:15:06.309916250
68,118.05,14,118.06,09:15:07.076185047
68,118.05,13,118.06,09:15:07.111426404
68,118.05,14,118.06,09:15:07.304051237
68,118.05,16,118.06,09:15:07.309524420
76,118.05,16,118.06,09:15:07.309686328
76,118.05,14,118.06,09:15:07.309829032
80,118.05,14,118.06,09:15:07.309933799
80,118.05,13,118.06,09:15:07.310054934
81,118.05,13,118.06,09:15:07.330063032
83,118.05,13,118.06,09:15:07.330208223
83,118.05,11,118.06,09:15:07.330964276
83,118.05,10,118.06,09:15:07.503739687
83,118.05,9,118.06,09:15:07.503877060
83,118.05,8,118.06,09:15:07.556448700
83,118.05,102,118.07,09:15:07.556448700
16,118.06,102,118.07,09:15:07.556448700
18,118.06,102,118.07,09:15:07.556771080
21,118.06,102,118.07,09:15:07.557093518
21,118.06,92,118.07,09:15:07.557299947
22,118.06,92,118.07,09:15:07.557320472
23,118.06,92,118.07,09:15:07.557399169
21,118.06,92,118.07,09:15:07.557951015
22,118.06,92,118.07,09:15:07.573562978
22,118.06,91,118.07,09:15:07.573717228
22,118.06,92,118.07,09:15:07.599350509
22,118.06,93,118.07,09:15:07.599512490
26,118.06,93,118.07,09:15:07.764384437
28,118.06,93,118.07,09:15:07.764624215
29,118.06,93,118.07,09:15:07.976178567
