bidVolume,bidPrice,askVolume,askPrice,timestamp
173,110.44,17,110.45,08:40:00.006400096
173,110.44,18,110.45,08:40:00.010455846
173,110.44,24,110.45,08:40:00.011660182
173,110.44,25,110.45,08:40:00.011740370
173,110.44,24,110.45,08:40:00.012278434
173,110.44,23,110.45,08:40:00.012350085
173,110.44,24,110.45,08:40:00.012431483
173,110.44,23,110.45,08:40:00.012507963
173,110.44,22,110.45,08:40:00.013636839
173,110.44,16,110.45,08:40:00.023640113
173,110.44,8,110.45,08:40:00.082479052
173,110.44,4,110.45,08:40:00.253307253
173,110.44,3,110.45,08:40:00.253388981
173,110.44,2,110.45,08:40:00.253493134
173,110.44,1,110.45,08:40:00.297899401
201,110.44,1,110.45,08:40:00.298236803
201,110.44,157,110.46,08:40:00.298236803
7,110.45,157,110.46,08:40:00.298236803
7,110.45,155,110.46,08:40:00.298294796
7,110.45,177,110.46,08:40:00.298725554
210,110.44,177,110.46,08:40:00.298848111
190,110.44,177,110.46,08:40:00.298848111
210,110.44,177,110.46,08:40:00.299033545
3,110.45,177,110.46,08:40:00.299190119
4,110.45,177,110.46,08:40:00.299382856
4,110.45,183,110.46,08:40:00.299512044
4,110.45,177,110.46,08:40:00.299512044
1,110.45,177,110.46,08:40:00.299933026
6,110.45,177,110.46,08:40:00.300057866
5,110.45,177,110.46,08:40:00.300453537
6,110.45,177,110.46,08:40:00.301395901
6,110.45,179,110.46,08:40:00.301567395
14,110.45,179,110.46,08:40:00.301853079
14,110.45,177,110.46,08:40:00.302202608
16,110.45,177,110.46,08:40:00.359091002
14,110.45,177,110.46,08:40:00.359248490
17,110.45,177,110.46,08:40:00.500432195
14,110.45,177,110.46,08:40:00.500842169
15,110.45,177,110.46,08:40:00.501704917
16,110.45,177,110.46,08:40:00.501886223
17,110.45,177,110.46,08:40:00.501954309
16,110.45,177,110.46,08:40:00.502122239
17,110.45,177,110.46,08:40:00.502682251
16,110.45,177,110.46,08:40:00.502910360
17,110.45,177,110.46,08:40:00.503573233
18,110.45,177,110.46,08:40:00.504009753
17,110.45,177,110.46,08:40:00.505981705
16,110.45,177,110.46,08:40:00.506053350
15,110.45,177,110.46,08:40:00.506128796
16,110.45,177,110.46,08:40:00.506286476
15,110.45,177,110.46,08:40:00.506672034
14,110.45,177,110.46,08:40:00.506737740
15,110.45,177,110.46,08:40:00.509253879
16,110.45,177,110.46,08:40:00.509398394
15,110.45,177,110.46,08:40:00.509632848
14,110.45,177,110.46,08:40:00.509705132
15,110.45,177,110.46,08:40:00.609745928
14,110.45,177,110.46,08:40:00.609900911
13,110.45,177,110.46,08:40:00.613157609
5,110.45,177,110.46,08:40:00.625847732
6,110.45,177,110.46,08:40:00.713681519
14,110.45,177,110.46,08:40:00.713971355
16,110.45,177,110.46,08:40:00.717671100
17,110.45,177,110.46,08:40:00.718030044
15,110.45,177,110.46,08:40:00.718242834
14,110.45,177,110.46,08:40:00.720617811
16,110.45,177,110.46,08:40:00.721316851
14,110.45,177,110.46,08:40:00.721475040
16,110.45,177,110.46,08:40:01.133407518
17,110.45,177,110.46,08:40:01.133555863
18,110.45,177,110.46,08:40:01.133624458
64,110.45,177,110.46,08:40:01.138948918
89,110.45,177,110.46,08:40:01.139106089
89,110.45,159,110.46,08:40:01.139188362
90,110.45,159,110.46,08:40:01.139188362
90,110.45,160,110.46,08:40:01.168447599
90,110.45,143,110.46,08:40:01.207942181
90,110.45,88,110.46,08:40:01.207978512
90,110.45,66,110.46,08:40:01.208046839
90,110.45,65,110.46,08:40:01.208046839
100,110.45,65,110.46,08:40:01.208278904
100,110.45,66,110.46,08:40:01.208472874
75,110.45,66,110.46,08:40:01.250067122
29,110.45,66,110.46,08:40:01.250138302
19,110.45,66,110.46,08:40:01.250249281
19,110.45,103,110.46,08:40:01.310298632
19,110.45,138,110.46,08:40:01.310361400
18,110.45,138,110.46,08:40:01.838281737
19,110.45,138,110.46,08:40:01.860916384
18,110.45,138,110.46,08:40:01.869868151
19,110.45,138,110.46,08:40:01.963553850
67,110.45,138,110.46,08:40:01.979898473
90,110.45,138,110.46,08:40:01.980026264
89,110.45,138,110.46,08:40:02.005204916
41,110.45,138,110.46,08:40:02.325912558
18,110.45,138,110.46,08:40:02.325978164
17,110.45,138,110.46,08:40:02.326238024
15,110.45,138,110.46,08:40:02.326317093
16,110.45,138,110.46,08:40:02.326696885
18,110.45,138,110.46,08:40:02.326845328
16,110.45,138,110.46,08:40:02.327489953
18,110.45,138,110.46,08:40:02.327702233
16,110.45,138,110.46,08:40:02.327977802
17,110.45,138,110.46,08:40:02.328165130
18,110.45,138,110.46,08:40:02.328314845
18,110.45,150,110.46,08:40:02.328508301
18,110.45,160,110.46,08:40:02.328578607
17,110.45,160,110.46,08:40:02.328662924
16,110.45,160,110.46,08:40:02.328662924
15,110.45,160,110.46,08:40:02.328733517
16,110.45,160,110.46,08:40:02.329025312
17,110.45,160,110.46,08:40:02.329143212
18,110.45,160,110.46,08:40:02.329214659
17,110.45,160,110.46,08:40:02.329799266
16,110.45,160,110.46,08:40:02.330015106
15,110.45,160,110.46,08:40:02.330212322
16,110.45,160,110.46,08:40:02.330495010
17,110.45,160,110.46,08:40:02.330649391
16,110.45,160,110.46,08:40:02.330874392
15,110.45,160,110.46,08:40:02.331355229
16,110.45,160,110.46,08:40:02.334154556
15,110.45,160,110.46,08:40:02.334864577
16,110.45,160,110.46,08:40:02.335057688
15,110.45,160,110.46,08:40:02.335278181
16,110.45,160,110.46,08:40:02.338033440
18,110.45,160,110.46,08:40:02.338658966
16,110.45,160,110.46,08:40:02.341030977
15,110.45,160,110.46,08:40:02.341155027
16,110.45,160,110.46,08:40:02.342716477
17,110.45,160,110.46,08:40:02.343010335
18,110.45,160,110.46,08:40:02.343455123
17,110.45,160,110.46,08:40:02.345308465
16,110.45,160,110.46,08:40:02.345371989
15,110.45,160,110.46,08:40:02.346420996
16,110.45,160,110.46,08:40:02.362470886
18,110.45,160,110.46,08:40:02.363505199
16,110.45,160,110.46,08:40:02.363945374
15,110.45,160,110.46,08:40:02.365362889
16,110.45,160,110.46,08:40:02.366726438
17,110.45,160,110.46,08:40:02.366879743
18,110.45,160,110.46,08:40:02.367708546
17,110.45,160,110.46,08:40:02.370143271
16,110.45,160,110.46,08:40:02.370294797
15,110.45,160,110.46,08:40:02.370432365
17,110.45,160,110.46,08:40:02.378031514
18,110.45,160,110.46,08:40:02.378167694
17,110.45,160,110.46,08:40:02.378953921
15,110.45,160,110.46,08:40:02.379108701
16,110.45,160,110.46,08:40:02.408111008
17,110.45,160,110.46,08:40:02.408173555
18,110.45,160,110.46,08:40:02.408308432
17,110.45,160,110.46,08:40:02.408458351
18,110.45,160,110.46,08:40:02.412344032
17,110.45,160,110.46,08:40:02.414656434
16,110.45,160,110.46,08:40:02.414824869
15,110.45,160,110.46,08:40:02.414895253
16,110.45,160,110.46,08:40:02.423423954
17,110.45,160,110.46,08:40:02.425756497
18,110.45,160,110.46,08:40:02.425933201
17,110.45,160,110.46,08:40:02.434121742
16,110.45,160,110.46,08:40:02.434188875
15,110.45,160,110.46,08:40:02.434260881
7,110.45,160,110.46,08:40:02.447561550
6,110.45,160,110.46,08:40:02.492257514
1,110.45,160,110.46,08:40:02.492324416
3,110.45,160,110.46,08:40:02.492599411
1,110.45,160,110.46,08:40:02.506567776
184,110.44,160,110.46,08:40:02.506761075
1,110.45,160,110.46,08:40:02.507098027
1,110.45,178,110.46,08:40:02.507098027
1,110.45,166,110.46,08:40:02.507172292
1,110.45,156,110.46,08:40:02.507172292
214,110.44,156,110.46,08:40:02.510206228
3,110.45,156,110.46,08:40:02.510366106
3,110.45,168,110.46,08:40:02.510552330
3,110.45,178,110.46,08:40:02.510621226
214,110.44,178,110.46,08:40:02.514267571
214,110.44,166,110.46,08:40:02.514507089
214,110.44,156,110.46,08:40:02.514507089
3,110.45,156,110.46,08:40:02.514752852
214,110.44,156,110.46,08:40:02.536958507
184,110.44,156,110.46,08:40:02.751650915
