bidVolume,bidPrice,askVolume,askPrice,timestamp
96,118.99,15,119.0,14:20:00.185359982
96,118.99,13,119.0,14:20:00.185530174
96,118.99,12,119.0,14:20:00.185716273
96,118.99,11,119.0,14:20:00.185854363
97,118.99,11,119.0,14:20:00.300809602
98,118.99,11,119.0,14:20:00.301004712
98,118.99,8,119.0,14:20:00.301193015
98,118.99,6,119.0,14:20:00.404737877
100,118.99,6,119.0,14:20:00.404920670
99,118.99,6,119.0,14:20:00.404983774
99,118.99,4,119.0,14:20:00.405096478
100,118.99,4,119.0,14:20:00.405160619
100,118.99,5,119.0,14:20:01.220194932
100,118.99,7,119.0,14:20:01.477528544
100,118.99,8,119.0,14:20:01.477629401
100,118.99,6,119.0,14:20:01.477707046
100,118.99,8,119.0,14:20:01.477779344
100,118.99,9,119.0,14:20:01.477882473
100,118.99,12,119.0,14:20:01.478279849
99,118.99,12,119.0,14:20:01.478565292
99,118.99,13,119.0,14:20:01.481732319
99,118.99,14,119.0,14:20:01.481901184
97,118.99,14,119.0,14:20:01.481960716
80,118.99,14,119.0,14:20:01.482082431
80,118.99,16,119.0,14:20:01.482222012
80,118.99,29,119.0,14:20:01.513488540
80,118.99,33,119.0,14:20:01.513566178
80,118.99,34,119.0,14:20:01.513748590
80,118.99,33,119.0,14:20:01.826178343
78,118.99,33,119.0,14:20:02.079168238
79,118.99,33,119.0,14:20:02.454855918
79,118.99,32,119.0,14:20:03.282611014
79,118.99,19,119.0,14:20:03.469315201
79,118.99,15,119.0,14:20:03.469379406
79,118.99,14,119.0,14:20:03.469809834
79,118.99,13,119.0,14:20:03.469823686
79,118.99,12,119.0,14:20:03.469948479
79,118.99,10,119.0,14:20:03.469978080
79,118.99,9,119.0,14:20:03.469978080
79,118.99,7,119.0,14:20:03.469978080
79,118.99,6,119.0,14:20:03.469978080
79,118.99,3,119.0,14:20:03.469978080
79,118.99,2,119.0,14:20:03.469978080
79,118.99,136,119.01,14:20:03.469978080
96,118.99,136,119.01,14:20:03.470176744
96,118.99,135,119.01,14:20:03.470176744
98,118.99,135,119.01,14:20:03.470176744
100,118.99,135,119.01,14:20:03.470282832
118,118.99,135,119.01,14:20:03.470282832
123,118.99,135,119.01,14:20:03.470282832
2,119.0,135,119.01,14:20:03.470451299
