bidVolume,bidPrice,askVolume,askPrice,timestamp
54,117.63,67,117.64,08:00:00.008512922
54,117.63,66,117.64,08:00:00.008512922
54,117.63,65,117.64,08:00:00.008584148
54,117.63,64,117.64,08:00:00.008792606
54,117.63,62,117.64,08:00:00.008792606
56,117.63,62,117.64,08:00:00.008880791
58,117.63,62,117.64,08:00:00.008880791
60,117.63,62,117.64,08:00:00.009025674
60,117.63,64,117.64,08:00:00.009200009
60,117.63,62,117.64,08:00:00.029427101
61,117.63,62,117.64,08:00:00.030340899
61,117.63,64,117.64,08:00:00.031686856
61,117.63,65,117.64,08:00:00.031828148
61,117.63,64,117.64,08:00:00.032009271
59,117.63,64,117.64,08:00:00.032088324
59,117.63,65,117.64,08:00:00.032608243
59,117.63,66,117.64,08:00:00.032677907
59,117.63,65,117.64,08:00:00.032780115
50,117.63,65,117.64,08:00:00.033010534
50,117.63,66,117.64,08:00:00.033010534
50,117.63,67,117.64,08:00:00.033083715
50,117.63,68,117.64,08:00:00.033167856
50,117.63,67,117.64,08:00:00.034685953
50,117.63,68,117.64,08:00:00.036278905
50,117.63,67,117.64,08:00:00.038879217
50,117.63,66,117.64,08:00:00.038951127
50,117.63,65,117.64,08:00:00.039011415
50,117.63,66,117.64,08:00:00.039207335
50,117.63,67,117.64,08:00:00.040966264
49,117.63,67,117.64,08:00:00.041033291
49,117.63,68,117.64,08:00:00.041180504
49,117.63,67,117.64,08:00:00.044143164
49,117.63,68,117.64,08:00:00.085647171
49,117.63,69,117.64,08:00:00.089624681
47,117.63,69,117.64,08:00:00.105007569
47,117.63,75,117.64,08:00:00.109816120
47,117.63,78,117.64,08:00:00.110026316
47,117.63,72,117.64,08:00:00.131409443
49,117.63,72,117.64,08:00:00.166819109
49,117.63,71,117.64,08:00:00.166960046
49,117.63,70,117.64,08:00:00.324916407
49,117.63,67,117.64,08:00:00.325096203
49,117.63,66,117.64,08:00:00.325342760
49,117.63,67,117.64,08:00:00.327410856
49,117.63,72,117.64,08:00:00.364651771
49,117.63,73,117.64,08:00:00.364808523
49,117.63,74,117.64,08:00:00.364980810
49,117.63,80,117.64,08:00:00.441083950
49,117.63,74,117.64,08:00:00.451824601
49,117.63,73,117.64,08:00:00.452090441
49,117.63,72,117.64,08:00:00.522483670
49,117.63,73,117.64,08:00:00.546669166
49,117.63,74,117.64,08:00:00.546809214
47,117.63,74,117.64,08:00:00.681985825
47,117.63,80,117.64,08:00:00.764023064
47,117.63,74,117.64,08:00:00.774491016
47,117.63,73,117.64,08:00:00.775327543
47,117.63,72,117.64,08:00:00.775392820
47,117.63,71,117.64,08:00:00.775849718
48,117.63,71,117.64,08:00:00.776122164
47,117.63,71,117.64,08:00:00.776322640
47,117.63,70,117.64,08:00:00.777703659
47,117.63,71,117.64,08:00:00.784200623
47,117.63,70,117.64,08:00:00.949547430
47,117.63,71,117.64,08:00:00.956306013
48,117.63,71,117.64,08:00:01.022557920
51,117.63,71,117.64,08:00:01.022752089
51,117.63,70,117.64,08:00:01.022909785
51,117.63,71,117.64,08:00:01.039797279
48,117.63,71,117.64,08:00:01.146787413
48,117.63,72,117.64,08:00:01.146943013
48,117.63,73,117.64,08:00:01.147103074
48,117.63,72,117.64,08:00:01.553175375
48,117.63,71,117.64,08:00:01.553333566
49,117.63,71,117.64,08:00:01.578640150
51,117.63,71,117.64,08:00:01.578806794
51,117.63,70,117.64,08:00:01.578959848
53,117.63,70,117.64,08:00:01.850704308
58,117.63,70,117.64,08:00:01.927685818
58,117.63,72,117.64,08:00:02.133570443
58,117.63,73,117.64,08:00:02.133690657
56,117.63,73,117.64,08:00:02.134612935
56,117.63,74,117.64,08:00:02.136022274
56,117.63,73,117.64,08:00:02.136409397
56,117.63,72,117.64,08:00:02.136559336
56,117.63,73,117.64,08:00:02.138229837
56,117.63,72,117.64,08:00:02.142891404
51,117.63,72,117.64,08:00:02.143826507
51,117.63,73,117.64,08:00:02.143996078
51,117.63,74,117.64,08:00:02.144116138
50,117.63,74,117.64,08:00:02.145691294
50,117.63,73,117.64,08:00:02.151878576
50,117.63,72,117.64,08:00:02.152032345
55,117.63,72,117.64,08:00:02.264439351
57,117.63,72,117.64,08:00:02.264622553
57,117.63,73,117.64,08:00:02.414588928
57,117.63,74,117.64,08:00:02.414668183
57,117.63,75,117.64,08:00:02.414668183
55,117.63,75,117.64,08:00:02.415176447
