bidVolume,bidPrice,askVolume,askPrice,timestamp
2,2300.6,1,2301.0,10:00:00.082008426
1,2300.7,1,2301.0,10:00:00.082009450
1,2300.7,3,2301.1,10:00:00.082217266
1,2300.7,3,2301.1,10:00:00.082217266
2,2300.7,3,2301.1,10:00:00.082290563
4,2300.7,3,2301.1,10:00:00.082335844
4,2300.7,5,2301.3,10:00:00.082481675
4,2300.7,5,2301.3,10:00:00.082481675
1,2300.8,5,2301.3,10:00:00.082610496
1,2300.8,5,2301.3,10:00:00.082631992
1,2300.8,1,2301.2,10:00:00.082722764
1,2300.8,1,2301.2,10:00:00.082739260
2,2300.8,1,2301.2,10:00:00.082783451
2,2300.8,4,2301.3,10:00:00.082928570
2,2300.8,1,2301.3,10:00:00.082928570
2,2300.8,1,2301.3,10:00:00.082928570
2,2300.8,1,2301.2,10:00:00.082966907
1,2300.9,1,2301.2,10:00:00.083061996
1,2300.9,1,2301.2,10:00:00.083131163
1,2300.9,3,2301.3,10:00:00.083157227
1,2300.9,3,2301.3,10:00:00.083157227
2,2300.9,3,2301.3,10:00:00.083186994
2,2301.0,3,2301.3,10:00:00.083302075
3,2301.0,3,2301.3,10:00:00.083419152
3,2301.0,2,2301.3,10:00:00.090425044
3,2301.0,1,2301.4,10:00:00.090547978
3,2301.0,1,2301.4,10:00:00.090547978
3,2301.0,2,2301.4,10:00:00.090678573
2,2300.9,2,2301.4,10:00:00.241412280
2,2300.8,2,2301.4,10:00:00.241412280
5,2300.7,2,2301.4,10:00:00.241412280
3,2300.7,2,2301.4,10:00:00.241412280
3,2300.7,2,2301.4,10:00:00.241412280
3,2300.7,2,2301.4,10:00:00.241412280
3,2300.7,2,2301.4,10:00:00.241412280
3,2300.7,2,2301.3,10:00:00.241551175
3,2300.7,3,2301.3,10:00:00.241576194
3,2300.7,4,2301.3,10:00:00.241595077
3,2300.7,4,2301.3,10:00:00.241663821
3,2300.7,4,2301.3,10:00:00.241676663
3,2300.7,4,2301.3,10:00:00.241690509
3,2300.7,4,2301.3,10:00:00.241704452
3,2300.7,5,2301.3,10:00:00.241724082
